FrameIndex,ObjectType,ObjectName,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Joint,Joint_0,10.55318,1.09004,9.01183,0.96298,-0.10746,-0.2182,-0.1162,1,1,1
0,Joint,Joint_1,10.51905,1.09249,9.03795,0.96298,-0.10746,-0.2182,-0.1162,1,1,1
0,Joint,Joint_2,10.49259,1.112,9.08712,0.97831,-0.02191,-0.19393,-0.06937,1.00005,1.00004,0.99999
0,Joint,Joint_3,10.47831,1.11464,9.12216,0.97256,0.10034,-0.19735,-0.0715,0.99996,0.99995,0.99995
0,Joint,Joint_4,10.46863,1.11058,9.14408,0.97195,0.13853,-0.17316,-0.07829,1.00005,1.00001,1
0,Joint,Joint_5,10.461,1.10608,9.16464,0.97195,0.13853,-0.17316,-0.07829,1,1,1
0,Joint,Joint_6,10.55735,1.08581,9.05358,0.94074,-0.02491,-0.10046,-0.32294,1.00002,1.00001,0.99996
0,Joint,Joint_7,10.54946,1.09091,9.09825,0.96937,-0.06188,-0.03529,-0.23503,0.99996,1.00004,1.00007
0,Joint,Joint_8,10.54825,1.0951,9.12866,0.9532,0.109,-0.04239,-0.27881,1.00002,1.00001,0.99994
0,Joint,Joint_9,10.54537,1.09136,9.14841,0.95033,0.09368,-0.08886,-0.28321,1.00002,0.99997,0.99997
0,Joint,Joint_10,10.54094,1.0897,9.16985,0.95033,0.09368,-0.08886,-0.28321,1,1,1
0,Joint,Joint_11,10.53484,1.09154,9.04285,0.96298,-0.10746,-0.2182,-0.1162,1,1,1
0,Joint,Joint_12,10.51317,1.11258,9.09578,0.98028,0.01991,-0.16309,-0.10981,0.99996,1.00001,1.00001
0,Joint,Joint_13,10.49926,1.11244,9.13639,0.97166,0.12695,-0.17058,-0.10329,1.00003,1,1.00004
0,Joint,Joint_14,10.4894,1.10662,9.16145,0.96713,0.1289,-0.16361,-0.14589,0.99997,1.00001,0.99996
0,Joint,Joint_15,10.48112,1.10253,9.18468,0.96713,0.1289,-0.16361,-0.14589,1,1,1
0,Joint,Joint_16,10.53318,1.10131,9.0538,0.96298,-0.10746,-0.2182,-0.1162,1,1,1
0,Joint,Joint_17,10.55097,1.09064,9.0501,0.96298,-0.10746,-0.2182,-0.1162,1,1,1
0,Joint,Joint_18,10.53169,1.10361,9.09882,0.97762,-0.01816,-0.1297,-0.16467,0.99999,1.00004,1.00004
