FrameIndex,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,0,10.61522,1.06983,8.9563,0.98224,-0.06499,-0.15346,-0.08616,1,1,1
0,1,10.58471,1.06875,8.98544,0.98224,-0.06499,-0.15346,-0.08616,1,1,1
0,2,10.56448,1.08086,9.03936,0.98148,-0.05897,-0.17385,-0.05476,1.00005,1.00004,0.99999
0,3,10.55193,1.08591,9.07432,0.98211,-0.02597,-0.17048,-0.07561,0.99996,0.99995,0.99995
0,4,10.54398,1.08776,9.0969,0.98389,-0.04694,-0.1428,-0.09674,1.00005,1.00001,1
0,5,10.53845,1.09135,9.11803,0.98389,-0.04694,-0.1428,-0.09674,1,1,1
0,6,10.625,1.06253,8.99616,0.95574,-0.00106,-0.02574,-0.29308,1.00002,1.00001,0.99996
0,7,10.62281,1.0633,9.04121,0.9655,-0.16924,0.00458,-0.19785,0.99996,1.00004,1.00007
0,8,10.62511,1.07317,9.06983,0.96768,-0.01326,0.00046,-0.25183,1.00002,1.00001,0.99994
0,9,10.62526,1.07368,9.0899,0.96682,-0.00961,-0.05125,-0.25009,1.00002,0.99997,0.99997
0,10,10.62359,1.07581,9.11143,0.96682,-0.00961,-0.05125,-0.25009,1,1,1
0,11,10.60074,1.06801,8.98822,0.98224,-0.06499,-0.15346,-0.08616,1,1,1
0,12,10.5857,1.0822,9.0453,0.98677,-0.03602,-0.12844,-0.09213,0.99996,1.00001,1.00001
0,13,10.57523,1.08622,9.08621,0.98641,-0.02821,-0.12516,-0.10263,1.00003,1,1.00004
0,14,10.56867,1.08843,9.11255,0.97838,-0.08773,-0.11576,-0.14724,0.99997,1.00001,0.99996
0,15,10.56434,1.09448,9.1361,0.97838,-0.08773,-0.11576,-0.14724,1,1,1
0,16,10.60046,1.07601,9.0008,0.98224,-0.06499,-0.15346,-0.08616,1,1,1
0,17,10.61802,1.06711,8.994,0.98224,-0.06499,-0.15346,-0.08616,1,1,1
0,18,10.60474,1.07446,9.04514,0.9797,-0.11398,-0.0771,-0.14578,0.99999,1.00004,1.00004
0,19,10.6002,1.08393,9.08222,0.97899,-0.05522,-0.08813,-0.17537,1.00004,0.99993,0.99994
0,20,10.59618,1.08758,9.10791,0.97523,-0.0586,-0.11729,-0.17817,0.99993,1.00003,1.00001
0,21,10.59199,1.09273,9.13108,0.97523,-0.0586,-0.11729,-0.17817,1,1,1
0,22,10.57449,1.06326,8.98135,0.75519,-0.30269,-0.3305,0.47837,1.00002,0.99997,0.99999
0,23,10.54914,1.06779,9.00057,0.8473,-0.18008,-0.23298,0.442,0.99999,0.99999,1.00005
0,24,10.53064,1.0711,9.02818,0.76988,-0.24418,-0.31243,0.50005,1.00001,0.99999,1
1,25,10.51259,1.07364,9.0443,0.76988,-0.24418,-0.31243,0.50005,1,1,1
1,0,10.61521,1.06978,8.95635,0.98219,-0.06553,-0.15347,-0.08634,1,1,1
1,1,10.5847,1.06874,8.9855,0.98219,-0.06553,-0.15347,-0.08634,1,1,1
1,2,10.56448,1.08092,9.0394,0.98144,-0.05926,-0.17396,-0.05487,1.00005,1.00004,0.99999
1,3,10.55193,1.086,9.07435,0.98208,-0.0261,-0.17061,-0.07569,0.99996,0.99995,0.99995
1,4,10.54397,1.08785,9.09694,0.98386,-0.04708,-0.14293,-0.09683,1.00005,1.00001,1
1,5,10.53844,1.09145,9.11806,0.98386,-0.04708,-0.14293,-0.09683,1,1,1
1,6,10.625,1.06252,8.99622,0.95566,-0.00156,-0.02587,-0.29331,1.00002,1.00001,0.99996
1,7,10.6228,1.06334,9.04127,0.96539,-0.16955,0.00439,-0.19813,0.99996,1.00004,1.00007
1,8,10.6251,1.07322,9.06988,0.96761,-0.01337,0.00016,-0.2521,1.00002,1.00001,0.99994
1,9,10.62524,1.07374,9.08995,0.96673,-0.00964,-0.05158,-0.25034,1.00002,0.99997,0.99997
1,10,10.62356,1.07587,9.11148,0.96673,-0.00964,-0.05158,-0.25034,1,1,1
1,11,10.60073,1.06799,8.98828,0.98219,-0.06553,-0.15347,-0.08634,1,1,1
1,12,10.58571,1.08225,9.04534,0.98674,-0.03644,-0.12844,-0.09231,0.99996,1.00001,1.00001
1,13,10.57524,1.08631,9.08625,0.98638,-0.02844,-0.12518,-0.10279,1.00003,1,1.00004
1,14,10.56868,1.08854,9.11258,0.97834,-0.08788,-0.1158,-0.1474,0.99997,1.00001,0.99996
1,15,10.56435,1.0946,9.13613,0.97834,-0.08788,-0.1158,-0.1474,1,1,1
1,16,10.60046,1.07601,9.00085,0.98219,-0.06553,-0.15347,-0.08634,1,1,1
1,17,10.61801,1.06709,8.99405,0.98219,-0.06553,-0.15347,-0.08634,1,1,1
1,18,10.60474,1.0745,9.04519,0.97962,-0.11434,-0.07724,-0.14599,0.99999,1.00004,1.00004
1,19,10.6002,1.08401,9.08226,0.97893,-0.05539,-0.08834,-0.17555,1.00004,0.99993,0.99994
1,20,10.59617,1.08767,9.10795,0.97516,-0.05867,-0.11751,-0.17834,0.99993,1.00003,1.00001
1,21,10.59197,1.09282,9.13111,0.97516,-0.05867,-0.11751,-0.17834,1,1,1
1,22,10.57448,1.06324,8.98142,0.75515,-0.30305,-0.32996,0.47859,1.00002,0.99997,0.99999
1,23,10.54915,1.0678,9.00065,0.84733,-0.18034,-0.23237,0.44217,0.99999,0.99999,1.00005
1,24,10.53067,1.07114,9.02827,0.76989,-0.24443,-0.31185,0.50028,1.00001,0.99999,1
2,25,10.51264,1.0737,9.0444,0.76989,-0.24443,-0.31185,0.50028,1,1,1
2,0,10.61513,1.06976,8.95645,0.98203,-0.06696,-0.15337,-0.0872,1,1,1
2,1,10.58463,1.06885,8.98561,0.98203,-0.06696,-0.15337,-0.0872,1,1,1
2,2,10.56444,1.08123,9.03948,0.9813,-0.06035,-0.17408,-0.05562,1.00005,1.00004,0.99999
2,3,10.55189,1.08639,9.07442,0.98197,-0.02688,-0.17081,-0.07639,0.99996,0.99995,0.99995
2,4,10.54393,1.08829,9.097,0.98373,-0.04781,-0.14312,-0.09754,1.00005,1.00001,1
2,5,10.5384,1.09192,9.11811,0.98373,-0.04781,-0.14312,-0.09754,1,1,1
2,6,10.62491,1.06258,8.99633,0.95535,-0.00285,-0.02611,-0.29432,1.00002,1.00001,0.99996
2,7,10.62273,1.06352,9.04138,0.96502,-0.17038,0.00418,-0.19922,0.99996,1.00004,1.00007
2,8,10.62503,1.07345,9.06998,0.96732,-0.01376,-0.00038,-0.25317,1.00002,1.00001,0.99994
2,9,10.62516,1.07399,9.09004,0.96643,-0.00993,-0.05216,-0.25138,1.00002,0.99997,0.99997
2,10,10.62346,1.07614,9.11157,0.96643,-0.00993,-0.05216,-0.25138,1,1,1
2,11,10.60066,1.06808,8.9884,0.98203,-0.06696,-0.15337,-0.0872,1,1,1
2,12,10.58568,1.08252,9.04541,0.98663,-0.03758,-0.1283,-0.09318,0.99996,1.00001,1.00001
2,13,10.57523,1.08668,9.08632,0.98629,-0.02915,-0.12511,-0.10361,1.00003,1,1.00004
2,14,10.56868,1.08896,9.11265,0.97818,-0.08836,-0.11573,-0.14821,0.99997,1.00001,0.99996
2,15,10.56437,1.09504,9.1362,0.97818,-0.08836,-0.11573,-0.14821,1,1,1
2,16,10.6004,1.07614,9.00093,0.98203,-0.06696,-0.15337,-0.0872,1,1,1
2,17,10.61793,1.06716,8.99415,0.98203,-0.06696,-0.15337,-0.0872,1,1,1
2,18,10.60469,1.07473,9.04527,0.97936,-0.11525,-0.07738,-0.14691,0.99999,1.00004,1.00004
2,19,10.60016,1.08431,9.08233,0.97872,-0.05586,-0.08864,-0.17642,1.00004,0.99993,0.99994
2,20,10.59612,1.088,9.10801,0.97495,-0.05892,-0.11785,-0.17918,0.99993,1.00003,1.00001
2,21,10.59191,1.09317,9.13117,0.97495,-0.05892,-0.11785,-0.17918,1,1,1
2,22,10.5744,1.06335,8.98156,0.75522,-0.30402,-0.32863,0.47877,1.00002,0.99997,0.99999
2,23,10.5491,1.06799,9.00081,0.84755,-0.18111,-0.23095,0.44219,0.99999,0.99999,1.00005
2,24,10.53067,1.07142,9.02846,0.77009,-0.2452,-0.31046,0.50046,1.00001,0.99999,1
3,25,10.51266,1.07404,9.04461,0.77009,-0.2452,-0.31046,0.50046,1,1,1
3,0,10.61508,1.06975,8.9565,0.98194,-0.06779,-0.15333,-0.08772,1,1,1
3,1,10.58459,1.06891,8.98567,0.98194,-0.06779,-0.15333,-0.08772,1,1,1
3,2,10.56443,1.0814,9.03952,0.98122,-0.06101,-0.17416,-0.05608,1.00005,1.00004,0.99999
3,3,10.55187,1.08662,9.07445,0.9819,-0.02737,-0.17093,-0.07682,0.99996,0.99995,0.99995
3,4,10.54391,1.08855,9.09703,0.98364,-0.04827,-0.14325,-0.09798,1.00005,1.00001,1
3,5,10.53838,1.0922,9.11814,0.98364,-0.04827,-0.14325,-0.09798,1,1,1
3,6,10.62486,1.06261,8.99639,0.95515,-0.00359,-0.02627,-0.29492,1.00002,1.00001,0.99996
3,7,10.62269,1.06362,9.04144,0.9648,-0.17085,0.00408,-0.19986,0.99996,1.00004,1.00007
3,8,10.625,1.07358,9.07002,0.96715,-0.014,-0.00068,-0.2538,1.00002,1.00001,0.99994
3,9,10.62512,1.07413,9.09009,0.96625,-0.01013,-0.05248,-0.252,1.00002,0.99997,0.99997
3,10,10.6234,1.0763,9.11161,0.96625,-0.01013,-0.05248,-0.252,1,1,1
3,11,10.60062,1.06813,8.98845,0.98194,-0.06779,-0.15333,-0.08772,1,1,1
3,12,10.58566,1.08268,9.04545,0.98657,-0.03825,-0.12822,-0.09371,0.99996,1.00001,1.00001
3,13,10.57523,1.0869,9.08635,0.98623,-0.02958,-0.12507,-0.10411,1.00003,1,1.00004
3,14,10.56868,1.0892,9.11268,0.97808,-0.08867,-0.11569,-0.1487,0.99997,1.00001,0.99996
3,15,10.56438,1.0953,9.13623,0.97808,-0.08867,-0.11569,-0.1487,1,1,1
3,16,10.60037,1.07622,9.00097,0.98194,-0.06779,-0.15333,-0.08772,1,1,1
3,17,10.61789,1.0672,8.99421,0.98194,-0.06779,-0.15333,-0.08772,1,1,1
3,18,10.60467,1.07487,9.04532,0.97921,-0.11579,-0.07745,-0.14746,0.99999,1.00004,1.00004
3,19,10.60014,1.08449,9.08236,0.9786,-0.05616,-0.0888,-0.17694,1.00004,0.99993,0.99994
3,20,10.5961,1.0882,9.10804,0.97483,-0.05911,-0.11804,-0.17969,0.99993,1.00003,1.00001
3,21,10.59189,1.09338,9.13119,0.97483,-0.05911,-0.11804,-0.17969,1,1,1
3,22,10.57436,1.06341,8.98164,0.75526,-0.30458,-0.3279,0.47885,1.00002,0.99997,0.99999
3,23,10.54907,1.0681,9.0009,0.84767,-0.18155,-0.23018,0.44218,0.99999,0.99999,1.00005
3,24,10.53067,1.07159,9.02856,0.77019,-0.24565,-0.30971,0.50054,1.00001,0.99999,1
4,25,10.51268,1.07424,9.04472,0.77019,-0.24565,-0.30971,0.50054,1,1,1
4,0,10.61504,1.06974,8.95655,0.98183,-0.06865,-0.1533,-0.08826,1,1,1
4,1,10.58455,1.06898,8.98573,0.98183,-0.06865,-0.1533,-0.08826,1,1,1
4,2,10.56441,1.08159,9.03956,0.98114,-0.06171,-0.17425,-0.05657,1.00005,1.00004,0.99999
4,3,10.55185,1.08686,9.07448,0.98183,-0.0279,-0.17106,-0.07728,0.99996,0.99995,0.99995
4,4,10.54389,1.08882,9.09705,0.98355,-0.04878,-0.14337,-0.09846,1.00005,1.00001,1
