FrameIndex,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,0,10.43412,1.09493,9.06317,0.98317,-0.07962,-0.12927,-0.10159,1,1,1
0,1,10.40446,1.09578,9.09415,0.98317,-0.07962,-0.12927,-0.10159,1,1,1
0,2,10.38709,1.10972,9.14986,0.97804,-0.02831,-0.19852,-0.05688,1.00005,1.00004,0.99999
0,3,10.37239,1.11269,9.18496,0.97768,0.02167,-0.19568,-0.07342,0.99996,0.99995,0.99995
0,4,10.36296,1.11236,9.20751,0.98117,0.0236,-0.16949,-0.08953,1.00005,1.00001,1
0,5,10.35583,1.11296,9.22887,0.98117,0.0236,-0.16949,-0.08953,1,1,1
0,6,10.44576,1.08789,9.10337,0.95032,-0.01806,-0.0055,-0.3107,1.00002,1.00001,0.99996
0,7,10.44579,1.08962,9.14927,0.97174,-0.08165,-0.0223,-0.22034,0.99996,1.00004,1.00007
0,8,10.44557,1.09483,9.17973,0.96184,0.05795,-0.0197,-0.2667,1.00002,1.00001,0.99994
0,9,10.44416,1.09277,9.20002,0.95851,0.06471,-0.07252,-0.26799,1.00002,0.99997,0.99997
0,10,10.44074,1.09206,9.22183,0.95851,0.06471,-0.07252,-0.26799,1,1,1
0,11,10.42084,1.09436,9.09623,0.98317,-0.07962,-0.12927,-0.10159,1,1,1
0,12,10.40901,1.11036,9.15484,0.98249,0.0113,-0.16017,-0.09452,0.99996,1.00001,1.00001
0,13,10.39532,1.11071,9.19581,0.98136,0.03925,-0.15846,-0.10145,1.00003,1,1.00004
0,14,10.38648,1.10947,9.22205,0.97728,0.02145,-0.15252,-0.14562,0.99997,1.00001,0.99996
0,15,10.37943,1.11053,9.24617,0.97728,0.02145,-0.15252,-0.14562,1,1,1
0,16,10.42156,1.10265,9.109,0.98317,-0.07962,-0.12927,-0.10159,1,1,1
0,17,10.43873,1.09277,9.10142,0.98317,-0.07962,-0.12927,-0.10159,1,1,1
0,18,10.42805,1.10175,9.15391,0.98212,-0.03315,-0.10709,-0.15124,0.99999,1.00004,1.00004
0,19,10.42019,1.10557,9.19216,0.97665,0.02678,-0.11558,-0.17909,1.00004,0.99993,0.99994
0,20,10.4139,1.10528,9.21815,0.97094,0.04425,-0.14811,-0.18272,0.99993,1.00003,1.00001
0,21,10.40725,1.10591,9.24175,0.97094,0.04425,-0.14811,-0.18272,1,1,1
0,22,10.39361,1.09072,9.09045,0.77035,-0.30945,-0.30575,0.46617,1.00002,0.99997,0.99999
0,23,10.36876,1.09699,9.11078,0.86571,-0.15663,-0.19516,0.43351,0.99999,0.99999,1.00005
0,24,10.35266,1.10045,9.14053,0.80322,-0.1874,-0.25828,0.503,1.00001,0.99999,1
