FrameIndex,ObjectType,ObjectName,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Joint,Joint_0,10.54176,1.05725,8.95044,0.93164,-0.13616,-0.28238,-0.18376,1,1,1
0,Joint,Joint_1,10.50542,1.06531,8.97115,0.93164,-0.13616,-0.28238,-0.18376,1,1,1
0,Joint,Joint_2,10.47562,1.09085,9.0143,0.96216,-0.02308,-0.23775,-0.13114,1.00005,1.00004,0.99999
0,Joint,Joint_3,10.45871,1.09485,9.04748,0.95498,0.10092,-0.24861,-0.12656,0.99996,0.99995,0.99995
0,Joint,Joint_4,10.4467,1.09173,9.06803,0.95313,0.15155,-0.2282,-0.12842,1.00005,1.00001,1
0,Joint,Joint_5,10.43666,1.08749,9.08727,0.95313,0.15155,-0.2282,-0.12842,1,1,1
0,Joint,Joint_6,10.5394,1.05492,8.99196,0.90595,-0.0305,-0.17416,-0.38471,1.00002,1.00001,0.99996
0,Joint,Joint_7,10.52623,1.06345,9.03423,0.93088,-0.15391,-0.11536,-0.3106,0.99996,1.00004,1.00007
0,Joint,Joint_8,10.52261,1.07432,9.06232,0.92895,0.02801,-0.14314,-0.34027,1.00002,1.00001,0.99994
0,Joint,Joint_9,10.5169,1.07523,9.08153,0.92069,0.02118,-0.19232,-0.33896,1.00002,0.99997,0.99997
0,Joint,Joint_10,10.50949,1.07829,9.10168,0.92069,0.02118,-0.19232,-0.33896,1,1,1
0,Joint,Joint_11,10.51995,1.06272,8.97825,0.93164,-0.13616,-0.28238,-0.18376,1,1,1
0,Joint,Joint_12,10.49442,1.08922,9.02573,0.95723,-0.02382,-0.22809,-0.1764,0.99996,1.00001,1.00001
0,Joint,Joint_13,10.47626,1.09457,9.06367,0.95242,0.08664,-0.24371,-0.16123,1.00003,1,1.00004
0,Joint,Joint_14,10.46287,1.09222,9.08724,0.94557,0.08905,-0.23752,-0.20382,0.99997,1.00001,0.99996
0,Joint,Joint_15,10.45153,1.09133,9.10915,0.94557,0.08905,-0.23752,-0.20382,1,1,1
0,Joint,Joint_16,10.51809,1.07324,8.98809,0.93164,-0.13616,-0.28238,-0.18376,1,1,1
0,Joint,Joint_17,10.53437,1.06028,8.98746,0.93164,-0.13616,-0.28238,-0.18376,1,1,1
0,Joint,Joint_18,10.51069,1.07821,9.03173,0.94574,-0.08312,-0.20683,-0.23642,0.99999,1.00004,1.00004
0,Joint,Joint_19,10.49714,1.08803,9.06642,0.93881,0.05041,-0.2407,-0.24116,1.00004,0.99993,0.99994
0,Joint,Joint_20,10.48464,1.0886,9.08949,0.92678,0.08393,-0.27776,-0.2385,0.99993,1.00003,1.00001
0,Joint,Joint_21,10.47212,1.0893,9.11004,0.92678,0.08393,-0.27776,-0.2385,1,1,1
0,Joint,Joint_22,10.49554,1.05993,8.96631,0.71173,-0.40705,-0.35197,0.45152,1.00002,0.99997,0.99999
0,Joint,Joint_23,10.46765,1.06833,8.97983,0.81233,-0.30815,-0.28128,0.40749,0.99999,0.99999,1.00005
0,Joint,Joint_24,10.44402,1.07739,9.00159,0.75294,-0.31544,-0.30957,0.48759,1.00001,0.99999,1
0,Joint,Joint_25,10.4249,1.08254,9.0157,0.75294,-0.31544,-0.30957,0.48759,1,1,1
0,Joint,Joint_26,10.43319,0.97971,8.85823,0.765,0.32133,0.18677,0.52597,1,1,1
0,Joint,Joint_27,10.47114,0.98206,8.87785,0.765,0.32133,0.18677,0.52597,1,1,1
0,Joint,Joint_28,10.50604,0.9715,8.92309,0.62372,0.57887,0.35013,0.39152,1.00005,1.00004,0.99999
0,Joint,Joint_29,10.53938,0.95472,8.92626,0.13531,0.84214,0.50769,0.12142,0.99996,0.99995,0.99995
0,Joint,Joint_30,10.54759,0.95221,8.90385,-0.0777,0.85951,0.50436,-0.02879,1.00005,1.00001,1
0,Joint,Joint_31,10.54549,0.95377,8.88189,-0.0777,0.85951,0.50436,-0.02879,1,1,1
0,Joint,Joint_32,10.45198,0.94653,8.875,0.65199,0.43755,0.01654,0.61902,1.00002,1.00001,0.99996
0,Joint,Joint_33,10.47738,0.92174,8.9028,0.34174,0.76626,0.29418,0.45772,0.99996,1.00004,1.00007
0,Joint,Joint_34,10.50477,0.91402,8.89225,-0.2228,0.84411,0.44097,0.2083,1.00002,1.00001,0.99994
0,Joint,Joint_35,10.50788,0.92525,8.87593,-0.55754,0.67604,0.47863,0.05505,1.00002,0.99997,0.99997
0,Joint,Joint_36,10.49892,0.94295,8.86717,-0.55754,0.67604,0.47863,0.05505,1,1,1
0,Joint,Joint_37,10.46165,0.96863,8.8776,0.765,0.32133,0.18677,0.52597,1,1,1
0,Joint,Joint_38,10.49447,0.9528,8.92496,0.46018,0.7082,0.40453,0.35077,0.99996,1.00001,1.00001
0,Joint,Joint_39,10.53132,0.93719,8.91095,0.01936,0.84864,0.5197,0.09669,1.00003,1,1.00004
0,Joint,Joint_40,10.53633,0.93903,8.88427,-0.23695,0.85168,0.46531,-0.04461,0.99997,1.00001,0.99996
0,Joint,Joint_41,10.52972,0.9472,8.86194,-0.23695,0.85168,0.46531,-0.04461,1,1,1
0,Joint,Joint_42,10.46383,0.96625,8.8916,0.765,0.32133,0.18677,0.52597,1,1,1
0,Joint,Joint_43,10.4531,0.95445,8.87823,0.765,0.32133,0.18677,0.52597,1,1,1
0,Joint,Joint_44,10.48574,0.93635,8.91629,0.4052,0.74489,0.37078,0.37879,0.99999,1.00004,1.00004
0,Joint,Joint_45,10.51905,0.92392,8.90147,-0.11661,0.85101,0.49593,0.1274,1.00004,0.99993,0.99994
0,Joint,Joint_46,10.5217,0.93244,8.8768,-0.43392,0.7573,0.48653,-0.03876,0.99993,0.99997,1.00001
0,Joint,Joint_47,10.51113,0.94689,8.86069,-0.43392,0.7573,0.48653,-0.03876,1,1.00006,1
0,Joint,Joint_48,10.47995,0.98769,8.87152,0.84885,-0.07098,0.52269,-0.03494,1.00002,1.00003,0.99998
0,Joint,Joint_49,10.50861,0.99039,8.88576,0.8765,0.1119,0.46586,-0.04684,0.99999,1,0.99996
0,Joint,Joint_50,10.53551,0.98238,8.90381,0.83515,0.1234,0.51835,-0.13639,0.99999,0.99996,1
0,Joint,Joint_51,10.5558,0.97495,8.91497,0.83515,0.1234,0.51835,-0.13639,1,1,1
0,Object,TeaCup,10.5064,1.05451,9.3572,1,0,0,0,0.04,0.04,0.04
0,Object,Pills,10.0399,1.0604,9.2569,0.85059,0,0.52583,0,1,1,1
0,Object,Tennis,10.3093,1.09538,9.2062,1,0,0,0,1,1,1
1,Joint,Joint_0,10.54171,1.05734,8.95038,0.93172,-0.13595,-0.28236,-0.18354,1,1,1
1,Joint,Joint_1,10.50536,1.06538,8.97108,0.93172,-0.13595,-0.28236,-0.18354,1,1,1
1,Joint,Joint_2,10.47554,1.09088,9.01425,0.96226,-0.02245,-0.23754,-0.13085,1.00005,1.00004,0.99999
1,Joint,Joint_3,10.45864,1.09482,9.04744,0.95526,0.09927,-0.24804,-0.1269,0.99996,0.99995,0.99995
1,Joint,Joint_4,10.44666,1.09178,9.06802,0.95373,0.14817,-0.22742,-0.12929,1.00005,1.00001,1
1,Joint,Joint_5,10.43667,1.08768,9.08731,0.95373,0.14817,-0.22742,-0.12929,1,1,1
1,Joint,Joint_6,10.53934,1.05499,8.9919,0.90606,-0.03032,-0.17408,-0.38448,1.00002,1.00001,0.99996
1,Joint,Joint_7,10.52617,1.0635,9.03417,0.93094,-0.15367,-0.11578,-0.31038,0.99996,1.00004,1.00007
1,Joint,Joint_8,10.52253,1.07437,9.06226,0.92905,0.02703,-0.14306,-0.34011,1.00002,1.00001,0.99994
1,Joint,Joint_9,10.51682,1.07531,9.08147,0.92083,0.01969,-0.19205,-0.33883,1.00002,0.99997,0.99997
1,Joint,Joint_10,10.50945,1.07842,9.10162,0.92083,0.01969,-0.19205,-0.33883,1,1,1
1,Joint,Joint_11,10.51989,1.06279,8.97818,0.93172,-0.13595,-0.28236,-0.18354,1,1,1
1,Joint,Joint_12,10.49435,1.08926,9.02568,0.9573,-0.0231,-0.22816,-0.17604,0.99996,1.00001,1.00001
1,Joint,Joint_13,10.47617,1.09454,9.06362,0.95246,0.08686,-0.24365,-0.16099,1.00003,1,1.00004
1,Joint,Joint_14,10.46278,1.09217,9.08719,0.94567,0.08883,-0.23736,-0.20365,0.99997,1.00001,0.99996
1,Joint,Joint_15,10.45145,1.0913,9.1091,0.94567,0.08883,-0.23736,-0.20365,1,1,1
1,Joint,Joint_16,10.51803,1.0733,8.98803,0.93172,-0.13595,-0.28236,-0.18354,1,1,1
1,Joint,Joint_17,10.53431,1.06035,8.9874,0.93172,-0.13595,-0.28236,-0.18354,1,1,1
1,Joint,Joint_18,10.51062,1.07825,9.03167,0.94579,-0.08282,-0.20704,-0.23614,0.99999,1.00004,1.00004
1,Joint,Joint_19,10.49705,1.08805,9.06636,0.93887,0.05015,-0.24071,-0.24098,1.00004,0.99993,0.99994
1,Joint,Joint_20,10.48455,1.08863,9.08943,0.9269,0.08318,-0.27765,-0.23842,0.99993,1.00003,1.00001
1,Joint,Joint_21,10.47205,1.08937,9.10999,0.9269,0.08318,-0.27765,-0.23842,1,1,1
1,Joint,Joint_22,10.49548,1.06001,8.96623,0.7119,-0.40733,-0.35216,0.45084,1.00002,0.99997,0.99999
1,Joint,Joint_23,10.46759,1.06844,8.97972,0.81252,-0.30827,-0.28152,0.40685,0.99999,0.99999,1.00005
1,Joint,Joint_24,10.44395,1.07751,9.00146,0.7532,-0.31553,-0.30976,0.487,1.00001,0.99999,1
1,Joint,Joint_25,10.42482,1.08267,9.01557,0.7532,-0.31553,-0.30976,0.487,1,1,1
1,Joint,Joint_26,10.43322,0.97969,8.85825,0.76402,0.32101,0.18679,0.52758,1,1,1
1,Joint,Joint_27,10.47115,0.98216,8.87791,0.76402,0.32101,0.18679,0.52758,1,1,1
1,Joint,Joint_28,10.50605,0.97169,8.92318,0.62328,0.5782,0.3501,0.39323,1.00005,1.00004,0.99999
