FrameIndex,ObjectType,ObjectName,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Joint,Joint_0,10.62653,1.06974,8.93992,0.94865,-0.20085,-0.21874,-0.10896,1,1,1
0,Joint,Joint_1,10.59411,1.07709,8.96604,0.94865,-0.20085,-0.21874,-0.10896,1,1,1
0,Joint,Joint_2,10.56938,1.10625,9.00895,0.97745,-0.0105,-0.20767,-0.03668,1.00005,1.00004,0.99999
0,Joint,Joint_3,10.55438,1.10758,9.04277,0.96534,0.15479,-0.20826,-0.02805,0.99996,0.99995,0.99995
0,Joint,Joint_4,10.54463,1.10076,9.0633,0.96644,0.17844,-0.18132,-0.0358,1.00005,1.00001,1
0,Joint,Joint_5,10.53697,1.09441,9.08277,0.96644,0.17844,-0.18132,-0.0358,1,1,1
0,Joint,Joint_6,10.63124,1.07309,8.98069,0.93015,-0.11648,-0.12219,-0.32606,1.00002,1.00001,0.99996
0,Joint,Joint_7,10.62449,1.0863,9.02271,0.9648,0.00184,-0.12112,-0.23342,0.99996,1.00004,1.00007
0,Joint,Joint_8,10.61746,1.08789,9.05183,0.9457,0.15177,-0.11706,-0.26252,1.00002,1.00001,0.99994
0,Joint,Joint_9,10.61149,1.08342,9.0702,0.94115,0.1244,-0.15957,-0.27075,1.00002,0.99997,0.99997
0,Joint,Joint_10,10.60398,1.08136,9.09018,0.94115,0.1244,-0.15957,-0.27075,1,1,1
0,Joint,Joint_11,10.60972,1.077,8.97056,0.94865,-0.20085,-0.21874,-0.10896,1,1,1
0,Joint,Joint_12,10.58964,1.10775,9.01689,0.97753,-0.01597,-0.18898,-0.09198,0.99996,1.00001,1.00001
0,Joint,Joint_13,10.57428,1.11051,9.05578,0.96786,0.13564,-0.19843,-0.07397,1.00003,1,1.00004
0,Joint,Joint_14,10.56341,1.10424,9.07957,0.96523,0.13506,-0.19083,-0.11695,0.99997,1.00001,0.99996
0,Joint,Joint_15,10.55413,1.09993,9.10172,0.96523,0.13506,-0.19083,-0.11695,1,1,1
0,Joint,Joint_16,10.60809,1.08874,8.9784,0.94865,-0.20085,-0.21874,-0.10896,1,1,1
0,Joint,Joint_17,10.62508,1.07729,8.97656,0.94865,-0.20085,-0.21874,-0.10896,1,1,1
0,Joint,Joint_18,10.60752,1.09913,9.02119,0.97485,-0.01433,-0.16804,-0.14571,0.99999,1.00004,1.00004
0,Joint,Joint_19,10.5952,1.10205,9.0571,0.96107,0.12728,-0.18875,-0.15656,1.00004,0.99993,0.99994
0,Joint,Joint_20,10.58475,1.09724,9.08035,0.94803,0.16309,-0.2224,-0.15869,0.99993,1.00003,1.00001
0,Joint,Joint_21,10.57408,1.09289,9.10118,0.94803,0.16309,-0.2224,-0.15869,1,1,1
0,Joint,Joint_22,10.58456,1.06984,8.96455,0.66017,-0.33767,-0.30181,0.59922,1.00002,0.99997,0.99999
0,Joint,Joint_23,10.55906,1.07251,8.98327,0.78514,-0.15306,-0.12879,0.58612,0.99999,0.99999,1.00005
0,Joint,Joint_24,10.54647,1.07546,9.01363,0.72399,-0.13168,-0.16654,0.65633,1.00001,0.99999,1
0,Joint,Joint_25,10.53568,1.07554,9.03511,0.72399,-0.13168,-0.16654,0.65633,1,1,1
0,Joint,Joint_26,10.41065,1.07396,8.93206,-0.96445,0.17604,-0.18916,-0.05531,1,1,1
0,Joint,Joint_27,10.44132,1.07689,8.96105,-0.96445,0.17604,-0.18916,-0.05531,1,1,1
0,Joint,Joint_28,10.46546,1.10201,9.00671,-0.97864,-0.00636,-0.20435,0.02137,1.00005,1.00004,0.99999
0,Joint,Joint_29,10.48026,1.10122,9.04064,-0.97093,-0.13579,-0.19596,0.02142,0.99996,0.99995,0.99995
0,Joint,Joint_30,10.48916,1.09477,9.06167,-0.97383,-0.15236,-0.16826,0.01169,1.00005,1.00001,1
0,Joint,Joint_31,10.49603,1.08915,9.08164,-0.97383,-0.15236,-0.16826,0.01169,1,1,1
0,Joint,Joint_32,10.40302,1.07648,8.97245,-0.95195,0.10583,-0.08522,-0.27446,1.00002,1.00001,0.99996
0,Joint,Joint_33,10.40767,1.08754,9.01537,-0.97715,0.07982,-0.06289,-0.1867,0.99996,1.00004,1.00007
0,Joint,Joint_34,10.41046,1.09293,9.04474,-0.96087,-0.14152,-0.07353,-0.22649,1.00002,1.00001,0.99994
0,Joint,Joint_35,10.41453,1.08819,9.06356,-0.95547,-0.13539,-0.12202,-0.23206,1.00002,0.99997,0.99997
0,Joint,Joint_36,10.42059,1.085,9.08388,-0.95547,-0.13539,-0.12202,-0.23206,1,1,1
0,Joint,Joint_37,10.42546,1.07837,8.96432,-0.96445,0.17604,-0.18916,-0.05531,1,1,1
0,Joint,Joint_38,10.44489,1.10537,9.01312,-0.98001,-0.03469,-0.19458,-0.02274,0.99996,1.00001,1.00001
0,Joint,Joint_39,10.46094,1.1029,9.05175,-0.97081,-0.1426,-0.19241,-0.01313,1.00003,1,1.00004
0,Joint,Joint_40,10.47109,1.09558,9.07557,-0.97268,-0.12862,-0.18451,-0.05743,0.99997,1.00001,0.99996
0,Joint,Joint_41,10.47985,1.09102,9.09788,-0.97268,-0.12862,-0.18451,-0.05743,1,1,1
0,Joint,Joint_42,10.42777,1.08967,8.97259,-0.96445,0.17604,-0.18916,-0.05531,1,1,1
0,Joint,Joint_43,10.40989,1.08014,8.96898,-0.96445,0.17604,-0.18916,-0.05531,1,1,1
0,Joint,Joint_44,10.42593,1.09855,9.01568,-0.98299,0.00456,-0.16113,-0.08802,0.99999,1.00004,1.00004
0,Joint,Joint_45,10.43797,1.09997,9.05177,-0.96907,-0.14361,-0.17411,-0.09986,1.00004,0.99993,0.99994
0,Joint,Joint_46,10.44746,1.09365,9.07507,-0.9563,-0.18052,-0.20551,-0.10331,0.99993,0.99997,1.00001
0,Joint,Joint_47,10.45727,1.08783,9.09597,-0.9563,-0.18052,-0.20551,-0.10331,1,1.00006,1
0,Joint,Joint_48,10.45007,1.06859,8.96018,-0.65128,0.2937,-0.28491,0.63906,1.00002,1.00003,0.99998
0,Joint,Joint_49,10.47376,1.06918,8.9813,-0.76837,0.1062,-0.09047,0.62461,0.99999,1,0.99996
0,Joint,Joint_50,10.48273,1.07083,9.013,-0.71655,0.01093,-0.06591,0.69433,0.99999,0.99996,1
0,Joint,Joint_51,10.48634,1.0697,9.03674,-0.71655,0.01093,-0.06591,0.69433,1,1,1
0,Object,TeaCup,10.5064,1.05451,9.3572,1,0,0,0,0.04,0.04,0.04
0,Object,Pills,10.0399,1.0604,9.2569,0.85059,0,0.52583,0,1,1,1
1,Joint,Joint_0,10.62671,1.06917,8.93993,0.94907,-0.20352,-0.21546,-0.10686,1,1,1
1,Joint,Joint_1,10.59449,1.07661,8.96625,0.94907,-0.20352,-0.21546,-0.10686,1,1,1
1,Joint,Joint_2,10.57005,1.10595,9.00921,0.9782,-0.01309,-0.20423,-0.03525,1.00005,1.00004,0.99999
1,Joint,Joint_3,10.55529,1.10743,9.04314,0.96655,0.15215,-0.20469,-0.02725,0.99996,0.99995,0.99995
1,Joint,Joint_4,10.54571,1.10072,9.06378,0.96758,0.17597,-0.17776,-0.03512,1.00005,1.00001,1
1,Joint,Joint_5,10.5382,1.09445,9.08333,0.96758,0.17597,-0.17776,-0.03512,1,1,1
1,Joint,Joint_6,10.63174,1.07274,8.98064,0.93058,-0.12003,-0.11947,-0.32456,1.00002,1.00001,0.99996
1,Joint,Joint_7,10.6253,1.08616,9.02265,0.96546,-0.00176,-0.11776,-0.2324,0.99996,1.00004,1.00007
1,Joint,Joint_8,10.61851,1.0879,9.05181,0.94607,0.15233,-0.11489,-0.26183,1.00002,1.00001,0.99994
1,Joint,Joint_9,10.61261,1.08338,9.0702,0.94158,0.12532,-0.15753,-0.27002,1.00002,0.99997,0.99997
1,Joint,Joint_10,10.60518,1.08125,9.09019,0.94158,0.12532,-0.15753,-0.27002,1,1,1
1,Joint,Joint_11,10.61013,1.07657,8.97065,0.94907,-0.20352,-0.21546,-0.10686,1,1,1
1,Joint,Joint_12,10.59037,1.10752,9.01698,0.97808,-0.02967,-0.18393,-0.09296,0.99996,1.00001,1.00001
1,Joint,Joint_13,10.57553,1.11138,9.05598,0.97042,0.12248,-0.19378,-0.07569,1.00003,1,1.00004
1,Joint,Joint_14,10.56491,1.10578,9.08006,0.96754,0.12201,-0.18676,-0.11872,0.99997,1.00001,0.99996
1,Joint,Joint_15,10.55587,1.10207,9.10242,0.96754,0.12201,-0.18676,-0.11872,1,1,1
1,Joint,Joint_16,10.60854,1.08834,8.97846,0.94907,-0.20352,-0.21546,-0.10686,1,1,1
1,Joint,Joint_17,10.62554,1.07691,8.97653,0.94907,-0.20352,-0.21546,-0.10686,1,1,1
1,Joint,Joint_18,10.60829,1.09894,9.02119,0.9752,-0.03252,-0.16198,-0.14726,0.99999,1.00004,1.00004
1,Joint,Joint_19,10.59663,1.10318,9.05719,0.96365,0.1113,-0.18399,-0.15855,1.00004,0.99993,0.99994
1,Joint,Joint_20,10.58651,1.09912,9.08073,0.95134,0.1474,-0.21795,-0.16038,0.99993,1.00003,1.00001
1,Joint,Joint_21,10.57614,1.09545,9.10183,0.95134,0.1474,-0.21795,-0.16038,1,1,1
1,Joint,Joint_22,10.58493,1.06934,8.96487,0.65997,-0.33689,-0.2984,0.60158,1.00002,0.99997,0.99999
1,Joint,Joint_23,10.55956,1.07206,8.98375,0.78365,-0.16032,-0.13067,0.58577,0.99999,0.99999,1.00005
