FrameIndex,ObjectType,ObjectName,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Joint,Joint_0,10.60537,1.02777,8.95188,0.96634,-0.2114,-0.09279,-0.11352,1,1,1
0,Joint,Joint_1,10.57993,1.03799,8.98322,0.96634,-0.2114,-0.09279,-0.11352,1,1,1
0,Joint,Joint_2,10.56926,1.0658,9.03304,0.97152,-0.20146,-0.09336,-0.08272,1.00005,1.00004,0.99999
0,Joint,Joint_3,10.56379,1.08085,9.06637,0.98161,-0.12712,-0.09924,-0.10213,0.99996,0.99995,0.99995
0,Joint,Joint_4,10.55978,1.08724,9.08884,0.97894,-0.1451,-0.073,-0.12371,1.00005,1.00001,1
0,Joint,Joint_5,10.55799,1.09469,9.10927,0.97894,-0.1451,-0.073,-0.12371,1,1,1
0,Joint,Joint_6,10.62009,1.02987,8.99022,0.92885,-0.15181,-0.00005,-0.33793,1.00002,1.00001,0.99996
0,Joint,Joint_7,10.62465,1.04243,9.03267,0.9286,-0.27678,0.05794,-0.24028,0.99996,1.00004,1.00007
0,Joint,Joint_8,10.63186,1.05699,9.05783,0.93058,-0.20554,0.06584,-0.29569,1.00002,1.00001,0.99994
0,Joint,Joint_9,10.63669,1.0638,9.07579,0.93034,-0.23106,0.02372,-0.28377,1.00002,0.99997,0.99997
0,Joint,Joint_10,10.64085,1.07369,9.09431,0.93034,-0.23106,0.02372,-0.28377,1,1,1
0,Joint,Joint_11,10.59585,1.03602,8.98415,0.96634,-0.2114,-0.09279,-0.11352,1,1,1
0,Joint,Joint_12,10.59087,1.06594,9.03577,0.97519,-0.17053,-0.06427,-0.12567,0.99996,1.00001,1.00001
0,Joint,Joint_13,10.58742,1.08054,9.07484,0.97679,-0.1522,-0.06433,-0.1363,1.00003,1,1.00004
0,Joint,Joint_14,10.58516,1.089,9.10024,0.96049,-0.20646,-0.05885,-0.17713,0.99997,1.00001,0.99996
