FrameIndex,ObjectType,ObjectName,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Joint,Joint_0,10.65677,1.09858,9.06723,0.89609,-0.1574,-0.06406,-0.41005,1,1,1
0,Joint,Joint_1,10.63759,1.11339,9.10144,0.89609,-0.1574,-0.06406,-0.41005,1,1,1
0,Joint,Joint_2,10.6379,1.14141,9.15043,0.91431,0.14216,-0.164,-0.34195,1.00005,1.00004,0.99999
0,Joint,Joint_3,10.62339,1.13601,9.18352,0.79337,0.46309,-0.27399,-0.28467,0.99996,0.99995,0.99995
0,Joint,Joint_4,10.60704,1.12246,9.19337,0.69945,0.60769,-0.29422,-0.23434,1.00005,1.00001,1
0,Joint,Joint_5,10.59222,1.10707,9.19628,0.69945,0.60769,-0.29422,-0.23434,1,1,1
0,Joint,Joint_6,10.6649,1.08816,9.10563,0.79443,-0.06515,0.02365,-0.60339,1.00002,1.00001,0.99996
0,Joint,Joint_7,10.67001,1.09146,9.14918,0.82493,0.1689,-0.1109,-0.52789,0.99996,1.00004,1.00007
0,Joint,Joint_8,10.65932,1.08668,9.17635,0.70239,0.4328,-0.23113,-0.51566,1.00002,1.00001,0.99994
0,Joint,Joint_9,10.64424,1.07945,9.18649,0.58195,0.54798,-0.37043,-0.47311,1.00002,0.99997,0.99997
0,Joint,Joint_10,10.62429,1.07355,9.19031,0.58195,0.54798,-0.37043,-0.47311,1,1,1
0,Joint,Joint_11,10.65069,1.10389,9.1024,0.89609,-0.1574,-0.06406,-0.41005,1,1,1
0,Joint,Joint_12,10.65514,1.12909,9.15418,0.87198,0.24811,-0.19359,-0.375,0.99996,1.00001,1.00001
0,Joint,Joint_13,10.63349,1.11721,9.18734,0.73674,0.52419,-0.30282,-0.30123,1.00003,1,1.00004
0,Joint,Joint_14,10.61327,1.10155,9.19442,0.64015,0.63274,-0.3143,-0.30177,0.99997,1.00001,0.99996
0,Joint,Joint_15,10.59459,1.08642,9.19557,0.64015,0.63274,-0.3143,-0.30177,1,1,1
0,Joint,Joint_16,10.65596,1.11384,9.1107,0.89609,-0.1574,-0.06406,-0.41005,1,1,1
0,Joint,Joint_17,10.66234,1.09591,9.10364,0.89609,-0.1574,-0.06406,-0.41005,1,1,1
0,Joint,Joint_18,10.66426,1.11128,9.15326,0.84775,0.25549,-0.16925,-0.43289,0.99999,1.00004,1.00004
0,Joint,Joint_19,10.64518,1.10052,9.18376,0.7096,0.50617,-0.28976,-0.39535,1.00004,0.99993,0.99994
0,Joint,Joint_20,10.62441,1.088,9.19195,0.58403,0.62572,-0.37468,-0.35636,0.99993,1.00003,1.00001
0,Joint,Joint_21,10.60374,1.07685,9.192,0.58403,0.62572,-0.37468,-0.35636,1,1,1
0,Joint,Joint_22,10.62596,1.11107,9.10236,0.83781,-0.16625,-0.24677,0.45775,1.00002,0.99997,0.99999
0,Joint,Joint_23,10.60824,1.11272,9.12813,0.90055,-0.00072,-0.1202,0.4178,0.99999,0.99999,1.00005
0,Joint,Joint_24,10.60118,1.10949,9.15974,0.8526,-0.01833,-0.19231,0.48555,1.00001,0.99999,1
0,Joint,Joint_25,10.59247,1.10687,9.18164,0.8526,-0.01833,-0.19231,0.48555,1,1,1
0,Joint,Joint_26,10.27137,1.08647,8.86546,-0.97703,0.17848,0.04631,-0.10685,1,1,1
0,Joint,Joint_27,10.28644,1.09308,8.90349,-0.97703,0.17848,0.04631,-0.10685,1,1,1
0,Joint,Joint_28,10.28289,1.11648,8.95535,-0.99131,0.05998,0.07673,-0.08845,1.00005,1.00004,0.99999
0,Joint,Joint_29,10.27695,1.12033,8.99118,-0.98541,-0.0958,0.06317,-0.12572,0.99996,0.99995,0.99995
0,Joint,Joint_30,10.2746,1.11554,9.01397,-0.9731,-0.16088,0.0811,-0.14356,1.00005,1.00001,1
0,Joint,Joint_31,10.27162,1.10911,9.03434,-0.9731,-0.16088,0.0811,-0.14356,1,1,1
0,Joint,Joint_32,10.24734,1.08432,8.89814,-0.92045,0.14948,0.14304,-0.33161,1.00002,1.00001,0.99996
0,Joint,Joint_33,10.23141,1.09225,8.93834,-0.95093,0.1363,0.13394,-0.24334,0.99996,1.00004,1.00007
0,Joint,Joint_34,10.2219,1.09799,8.96577,-0.94114,-0.01698,0.12064,-0.31531,1.00002,1.00001,0.99994
0,Joint,Joint_35,10.21767,1.09587,8.98475,-0.94552,-0.02366,0.0668,-0.31775,1.00002,0.99997,0.99997
0,Joint,Joint_36,10.2148,1.09511,9.00569,-0.94552,-0.02366,0.0668,-0.31775,1,1,1
0,Joint,Joint_37,10.27105,1.09111,8.89985,-0.97703,0.17848,0.04631,-0.10685,1,1,1
0,Joint,Joint_38,10.2616,1.11583,8.95228,-0.98107,0.0659,0.11701,-0.13953,0.99996,1.00001,1.00001
0,Joint,Joint_39,10.25135,1.11982,8.99214,-0.9789,-0.06621,0.09903,-0.16601,1.00003,1,1.00004
0,Joint,Joint_40,10.24679,1.11551,9.01792,-0.97022,-0.06702,0.10129,-0.20957,0.99997,1.00001,0.99996
0,Joint,Joint_41,10.24201,1.11224,9.04128,-0.97022,-0.06702,0.10129,-0.20957,1,1,1
0,Joint,Joint_42,10.26648,1.10115,8.90887,-0.97703,0.17848,0.04631,-0.10685,1,1,1
