FrameIndex,ObjectType,ObjectName,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,Joint,Joint_0,10.5711,1.0932,9.02096,0.97399,-0.09014,-0.17615,-0.11042,1,1,1
0,Joint,Joint_1,10.53993,1.0942,9.04908,0.97399,-0.09014,-0.17615,-0.11042,1,1,1
0,Joint,Joint_2,10.51803,1.11067,9.09998,0.97929,0.08026,-0.18031,-0.04525,1.00005,1.00004,0.99999
0,Joint,Joint_3,10.50469,1.10545,9.13413,0.97286,0.13919,-0.17473,-0.06028,0.99996,0.99995,0.99995
0,Joint,Joint_4,10.49622,1.09952,9.15549,0.97642,0.14034,-0.14678,-0.07319,1.00005,1.00001,1
0,Joint,Joint_5,10.48989,1.09491,9.17589,0.97642,0.14034,-0.14678,-0.07319,1,1,1
0,Joint,Joint_6,10.57859,1.0874,9.06104,0.94637,-0.01746,-0.05451,-0.31797,1.00002,1.00001,0.99996
0,Joint,Joint_7,10.57448,1.09042,9.10532,0.97269,0.00843,-0.03227,-0.2297,0.99996,1.00004,1.00007
0,Joint,Joint_8,10.57248,1.09037,9.13524,0.95605,0.11191,-0.01622,-0.27053,1.00002,1.00001,0.99994
0,Joint,Joint_9,10.57067,1.0863,9.15457,0.95395,0.10135,-0.0641,-0.27495,1.00002,0.99997,0.99997
0,Joint,Joint_10,10.56726,1.08403,9.17561,0.95395,0.10135,-0.0641,-0.27495,1,1,1
0,Joint,Joint_11,10.55568,1.09321,9.05255,0.97399,-0.09014,-0.17615,-0.11042,1,1,1
0,Joint,Joint_12,10.53876,1.11116,9.10677,0.98082,0.1067,-0.13032,-0.09815,0.99996,1.00001,1.00001
0,Joint,Joint_13,10.52717,1.10346,9.1463,0.97693,0.1349,-0.1277,-0.10536,1.00003,1,1.00004
0,Joint,Joint_14,10.51969,1.09709,9.17135,0.97744,0.09606,-0.115,-0.14885,0.99997,1.00001,0.99996
0,Joint,Joint_15,10.51409,1.0943,9.19493,0.97744,0.09606,-0.115,-0.14885,1,1,1
0,Joint,Joint_16,10.55493,1.10218,9.06387,0.97399,-0.09014,-0.17615,-0.11042,1,1,1
0,Joint,Joint_17,10.57205,1.09217,9.05838,0.97399,-0.09014,-0.17615,-0.11042,1,1,1
0,Joint,Joint_18,10.55711,1.10253,9.10784,0.98195,0.05227,-0.0952,-0.15488,0.99999,1.00004,1.00004
0,Joint,Joint_19,10.54938,1.09975,9.14502,0.97236,0.10391,-0.09951,-0.18392,1.00004,0.99993,0.99994
0,Joint,Joint_20,10.54336,1.09545,9.16989,0.96592,0.11681,-0.13082,-0.19039,0.99993,1.00003,1.00001
0,Joint,Joint_21,10.53706,1.09259,9.19267,0.96592,0.11681,-0.13082,-0.19039,1,1,1
0,Joint,Joint_22,10.52999,1.08821,9.0456,0.75081,-0.32582,-0.29607,0.49242,1.00002,0.99997,0.99999
0,Joint,Joint_23,10.50569,1.09448,9.06504,0.85251,-0.17167,-0.1793,0.46001,0.99999,0.99999,1.00005
0,Joint,Joint_24,10.49039,1.0987,9.09397,0.78357,-0.21346,-0.25114,0.52666,1.00001,0.99999,1
0,Joint,Joint_25,10.47503,1.10135,9.11227,0.78357,-0.21346,-0.25114,0.52666,1,1,1
0,Joint,Joint_26,10.20781,1.09968,9.0109,-0.99575,0.08659,-0.01367,-0.02833,1,1,1
0,Joint,Joint_27,10.22791,1.09689,9.04753,-0.99575,0.08659,-0.01367,-0.02833,1,1,1
0,Joint,Joint_28,10.23327,1.11013,9.10367,-0.99782,-0.05931,-0.02712,0.00985,1.00005,1.00004,0.99999
0,Joint,Joint_29,10.23523,1.10573,9.14039,-0.9915,-0.12789,-0.01941,-0.01408,0.99996,0.99995,0.99995
0,Joint,Joint_30,10.23623,1.09972,9.16332,-0.99242,-0.1195,0.00878,-0.02717,1.00005,1.00001,1
0,Joint,Joint_31,10.23565,1.09549,9.18476,-0.99242,-0.1195,0.00878,-0.02717,1,1,1
0,Joint,Joint_32,10.18668,1.09518,9.04595,-0.96156,0.05878,0.10807,-0.24548,1.00002,1.00001,0.99996
0,Joint,Joint_33,10.17613,1.09786,9.08918,-0.98378,0.06462,0.06808,-0.15286,0.99996,1.00004,1.00007
0,Joint,Joint_34,10.17152,1.10105,9.11864,-0.97453,-0.00976,0.09267,-0.20396,1.00002,1.00001,0.99994
0,Joint,Joint_35,10.16802,1.09992,9.13813,-0.9781,0.00547,0.04573,-0.203,1.00002,0.99997,0.99997
0,Joint,Joint_36,10.16581,1.10094,9.15943,-0.9781,0.00547,0.04573,-0.203,1,1,1
0,Joint,Joint_37,10.21193,1.09791,9.04557,-0.99575,0.08659,-0.01367,-0.02833,1,1,1
0,Joint,Joint_38,10.21172,1.1135,9.10322,-0.9976,-0.05829,-0.0108,-0.03566,0.99996,1.00001,1.00001
0,Joint,Joint_39,10.2128,1.10866,9.14484,-0.9931,-0.10743,-0.00807,-0.04637,1.00003,1,1.00004
0,Joint,Joint_40,10.2135,1.10294,9.17112,-0.99292,-0.08085,-0.00068,-0.08703,0.99997,1.00001,0.99996
0,Joint,Joint_41,10.21338,1.10006,9.19535,-0.99292,-0.08085,-0.00068,-0.08703,1,1,1
0,Joint,Joint_42,10.20977,1.10659,9.05706,-0.99575,0.08659,-0.01367,-0.02833,1,1,1
0,Joint,Joint_43,10.1943,1.09899,9.04581,-0.99575,0.08659,-0.01367,-0.02833,1,1,1
0,Joint,Joint_44,10.1931,1.10749,9.09781,-0.99622,-0.01774,0.01187,-0.08421,0.99999,1.00004,1.00004
0,Joint,Joint_45,10.19231,1.10607,9.13585,-0.99004,-0.07408,0.00873,-0.11942,1.00004,0.99993,0.99994
0,Joint,Joint_46,10.19232,1.10221,9.16151,-0.98702,-0.09493,-0.02291,-0.12748,0.99993,0.99997,1.00001
0,Joint,Joint_47,10.19334,1.09932,9.18511,-0.98702,-0.09493,-0.02291,-0.12748,1,1.00006,1
0,Joint,Joint_48,10.23783,1.08992,9.04705,-0.75203,0.19653,-0.23079,0.58529,1.00002,1.00003,0.99998
0,Joint,Joint_49,10.25615,1.09072,9.07296,-0.83265,0.03845,-0.07533,0.5473,0.99999,1,0.99996
0,Joint,Joint_50,10.26168,1.09012,9.10548,-0.77387,0.05625,-0.15671,0.61107,0.99999,0.99996,1
0,Joint,Joint_51,10.26995,1.08849,9.128,-0.77387,0.05625,-0.15671,0.61107,1,1,1
0,Object,Cup tea,10.5064,1.05451,9.3572,1,0,0,0,0.04,0.04,0.04
0,Object,Pills,10.0399,1.0604,9.2569,0.85059,0,0.52583,0,1,1,1
1,Joint,Joint_0,10.57108,1.0932,9.02102,0.97403,-0.09,-0.17612,-0.11018,1,1,1
1,Joint,Joint_1,10.5399,1.09421,9.04912,0.97403,-0.09,-0.17612,-0.11018,1,1,1
1,Joint,Joint_2,10.51801,1.11063,9.10004,0.9793,0.0804,-0.18023,-0.04502,1.00005,1.00004,0.99999
1,Joint,Joint_3,10.50467,1.1054,9.13419,0.97288,0.13925,-0.17464,-0.06007,0.99996,0.99995,0.99995
1,Joint,Joint_4,10.49621,1.09947,9.15555,0.97647,0.1402,-0.14667,-0.07301,1.00005,1.00001,1
1,Joint,Joint_5,10.48988,1.09485,9.17596,0.97647,0.1402,-0.14667,-0.07301,1,1,1
1,Joint,Joint_6,10.57858,1.0874,9.06109,0.94646,-0.01736,-0.05444,-0.31773,1.00002,1.00001,0.99996
1,Joint,Joint_7,10.57447,1.0904,9.10537,0.97276,0.00803,-0.0319,-0.22945,0.99996,1.00004,1.00007
1,Joint,Joint_8,10.5725,1.09037,9.1353,0.95618,0.1113,-0.01579,-0.27033,1.00002,1.00001,0.99994
1,Joint,Joint_9,10.57071,1.08632,9.15463,0.95411,0.10073,-0.06368,-0.27472,1.00002,0.99997,0.99997
1,Joint,Joint_10,10.56733,1.08407,9.17568,0.95411,0.10073,-0.06368,-0.27472,1,1,1
1,Joint,Joint_11,10.55565,1.09321,9.05258,0.97403,-0.09,-0.17612,-0.11018,1,1,1
1,Joint,Joint_12,10.53874,1.11113,9.10683,0.98084,0.1069,-0.1301,-0.09794,0.99996,1.00001,1.00001
1,Joint,Joint_13,10.52716,1.10341,9.14636,0.97695,0.1351,-0.12748,-0.10516,1.00003,1,1.00004
1,Joint,Joint_14,10.5197,1.09703,9.17141,0.97748,0.09623,-0.11479,-0.14863,0.99997,1.00001,0.99996
1,Joint,Joint_15,10.51411,1.09422,9.19499,0.97748,0.09623,-0.11479,-0.14863,1,1,1
1,Joint,Joint_16,10.55491,1.10217,9.06392,0.97403,-0.09,-0.17612,-0.11018,1,1,1
1,Joint,Joint_17,10.57203,1.09216,9.05843,0.97403,-0.09,-0.17612,-0.11018,1,1,1
1,Joint,Joint_18,10.55709,1.10251,9.1079,0.982,0.05237,-0.09497,-0.15466,0.99999,1.00004,1.00004
1,Joint,Joint_19,10.54938,1.09971,9.14508,0.97242,0.10392,-0.09926,-0.18372,1.00004,0.99993,0.99994
1,Joint,Joint_20,10.54338,1.09542,9.16995,0.96599,0.11682,-0.13057,-0.1902,0.99993,1.00003,1.00001
1,Joint,Joint_21,10.53708,1.09255,9.19273,0.96599,0.11682,-0.13057,-0.1902,1,1,1
1,Joint,Joint_22,10.52995,1.08824,9.04561,0.75084,-0.32606,-0.29702,0.49162,1.00002,0.99997,0.99999
1,Joint,Joint_23,10.50562,1.09451,9.065,0.85257,-0.17186,-0.18045,0.45939,0.99999,0.99999,1.00005
1,Joint,Joint_24,10.49025,1.09871,9.0939,0.78353,-0.21399,-0.25235,0.52593,1.00001,0.99999,1
1,Joint,Joint_25,10.47485,1.10135,9.11216,0.78353,-0.21399,-0.25235,0.52593,1,1,1
1,Joint,Joint_26,10.20786,1.0998,9.01085,-0.99582,0.08545,-0.01368,-0.02914,1,1,1
1,Joint,Joint_27,10.22798,1.09696,9.04748,-0.99582,0.08545,-0.01368,-0.02914,1,1,1
1,Joint,Joint_28,10.23333,1.11008,9.10365,-0.99779,-0.05987,-0.02732,0.00901,1.00005,1.00004,0.99999
1,Joint,Joint_29,10.23531,1.10564,9.14036,-0.99148,-0.12792,-0.01965,-0.01491,0.99996,0.99995,0.99995
1,Joint,Joint_30,10.23632,1.09964,9.16329,-0.99243,-0.1193,0.00856,-0.02801,1.00005,1.00001,1
1,Joint,Joint_31,10.23575,1.09541,9.18473,-0.99243,-0.1193,0.00856,-0.02801,1,1,1
1,Joint,Joint_32,10.18675,1.09519,9.04591,-0.96145,0.05756,0.10829,-0.24612,1.00002,1.00001,0.99996
1,Joint,Joint_33,10.17621,1.09775,9.08914,-0.98365,0.06489,0.06854,-0.1534,0.99996,1.00004,1.00007
1,Joint,Joint_34,10.17157,1.10095,9.1186,-0.97438,-0.00925,0.09313,-0.20449,1.00002,1.00001,0.99994
1,Joint,Joint_35,10.16804,1.09984,9.13808,-0.97796,0.00592,0.04618,-0.20351,1.00002,0.99997,0.99997
1,Joint,Joint_36,10.16581,1.10087,9.15938,-0.97796,0.00592,0.04618,-0.20351,1,1,1
1,Joint,Joint_37,10.212,1.09796,9.04552,-0.99582,0.08545,-0.01368,-0.02914,1,1,1
1,Joint,Joint_38,10.21177,1.11342,9.10321,-0.99754,-0.05886,-0.01083,-0.03647,0.99996,1.00001,1.00001
1,Joint,Joint_39,10.21286,1.10853,9.14482,-0.99306,-0.10745,-0.00811,-0.04719,1.00003,1,1.00004
1,Joint,Joint_40,10.21357,1.10281,9.1711,-0.99287,-0.08066,-0.00068,-0.08782,0.99997,1.00001,0.99996
1,Joint,Joint_41,10.21345,1.09994,9.19533,-0.99287,-0.08066,-0.00068,-0.08782,1,1,1
1,Joint,Joint_42,10.20982,1.10661,9.05703,-0.99582,0.08545,-0.01368,-0.02914,1,1,1
1,Joint,Joint_43,10.19437,1.09902,9.04577,-0.99582,0.08545,-0.01368,-0.02914,1,1,1
1,Joint,Joint_44,10.19316,1.10739,9.09779,-0.99615,-0.01775,0.01192,-0.08498,0.99999,1.00004,1.00004
1,Joint,Joint_45,10.19237,1.10597,9.13583,-0.98998,-0.07369,0.00878,-0.12017,1.00004,0.99993,0.99994
1,Joint,Joint_46,10.19238,1.10212,9.16149,-0.98699,-0.09427,-0.02285,-0.12821,0.99993,0.99997,1.00001
1,Joint,Joint_47,10.19339,1.09927,9.1851,-0.98699,-0.09427,-0.02285,-0.12821,1,1.00006,1
1,Joint,Joint_48,10.2379,1.09,9.04698,-0.75281,0.19618,-0.23103,0.5843,1.00002,1.00003,0.99998
1,Joint,Joint_49,10.25622,1.09081,9.07289,-0.83327,0.03806,-0.07584,0.54631,0.99999,1,0.99996
1,Joint,Joint_50,10.26176,1.09017,9.10541,-0.77452,0.05624,-0.15741,0.61006,0.99999,0.99996,1
1,Joint,Joint_51,10.27006,1.08853,9.12791,-0.77452,0.05624,-0.15741,0.61006,1,1,1
1,Object,Cup tea,10.5064,1.05451,9.3572,1,0,0,0,0.04,0.04,0.04
1,Object,Pills,10.0399,1.0604,9.2569,0.85059,0,0.52583,0,1,1,1
2,Joint,Joint_0,10.57108,1.09321,9.02115,0.97413,-0.08968,-0.17596,-0.1098,1,1,1
2,Joint,Joint_1,10.5399,1.0942,9.04923,0.97413,-0.08968,-0.17596,-0.1098,1,1,1
2,Joint,Joint_2,10.51803,1.11054,9.1002,0.97935,0.08055,-0.17994,-0.04472,1.00005,1.00004,0.99999
2,Joint,Joint_3,10.50471,1.10529,9.13435,0.97293,0.13947,-0.17433,-0.05977,0.99996,0.99995,0.99995
2,Joint,Joint_4,10.49626,1.09935,9.15572,0.97655,0.14015,-0.14634,-0.07275,1.00005,1.00001,1
2,Joint,Joint_5,10.48995,1.09474,9.17613,0.97655,0.14015,-0.14634,-0.07275,1,1,1
2,Joint,Joint_6,10.5786,1.08738,9.06121,0.94661,-0.01713,-0.0542,-0.31734,1.00002,1.00001,0.99996
2,Joint,Joint_7,10.57451,1.09036,9.1055,0.97289,0.00731,-0.03109,-0.22904,0.99996,1.00004,1.00007
2,Joint,Joint_8,10.57259,1.09036,9.13543,0.95638,0.11045,-0.01494,-0.27003,1.00002,1.00001,0.99994
2,Joint,Joint_9,10.57084,1.08633,9.15477,0.95436,0.09981,-0.06282,-0.27438,1.00002,0.99997,0.99997
2,Joint,Joint_10,10.56751,1.08411,9.17583,0.95436,0.09981,-0.06282,-0.27438,1,1,1
2,Joint,Joint_11,10.55565,1.0932,9.05269,0.97413,-0.08968,-0.17596,-0.1098,1,1,1
2,Joint,Joint_12,10.53876,1.11105,9.10698,0.9809,0.10726,-0.12961,-0.09763,0.99996,1.00001,1.00001
2,Joint,Joint_13,10.52722,1.1033,9.14652,0.97698,0.1356,-0.12699,-0.10484,1.00003,1,1.00004
2,Joint,Joint_14,10.51978,1.09688,9.17156,0.97754,0.09671,-0.11429,-0.1483,0.99997,1.00001,0.99996
