Frame,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
0,0,10.55818,0.36215,8.7339,0.49635,-0.34236,-0.61979,-0.50228,1,1,1
0,1,10.54684,0.35907,8.77377,0.39411,-0.22094,-0.67271,-0.58594,1,1,1
0,2,10.53373,0.35542,8.79126,0.35849,-0.18045,-0.68468,-0.60839,1,1,1
0,3,10.56739,0.33766,8.7319,0.50993,-0.38859,-0.49561,-0.58596,1,1,1
0,4,10.55921,0.3279,8.77606,0.35754,-0.2609,-0.5732,-0.68959,1,1,1
0,5,10.54122,0.32216,8.79884,0.3114,-0.22263,-0.58912,-0.71162,1,1,1
0,6,10.55206,0.32182,8.6652,-0.67281,0.24375,-0.46059,-0.52514,1,1,1
0,7,10.55357,0.29638,8.7124,0.45003,-0.4124,-0.29075,-0.73679,1,1,1
0,8,10.54507,0.28226,8.7414,0.32263,-0.35892,-0.35466,-0.80081,1,1,1
0,9,10.53577,0.27769,8.75539,0.28464,-0.34186,-0.37114,-0.81509,1,1,1
0,10,10.56325,0.31535,8.72389,0.49967,-0.39231,-0.39343,-0.66455,1,1,1
0,11,10.55581,0.30164,8.75917,0.35444,-0.30432,-0.46485,-0.75212,1,1,1
0,12,10.54129,0.29519,8.77947,0.29005,-0.26422,-0.48875,-0.77921,1,1,1
0,13,10.53066,0.37853,8.67508,0.49465,-0.00126,-0.85806,0.13803,1,1,1
0,14,10.51402,0.38306,8.70273,0.50926,0.12089,-0.8495,0.06622,1,1,1
0,15,10.5021,0.37941,8.72598,0.50867,0.11348,-0.85052,0.07065,1,1,1
0,16,10.63468,1.08931,9.02483,0.97312,-0.15883,-0.14373,-0.08461,0,0,0
0,17,10.70711,0.99818,8.77667,0.02206,0.17678,-0.81594,-0.55001,1,1,1
0,18,10.63457,1.23729,8.71522,0.15433,0.09252,-0.10752,-0.97778,1,1,1
0,19,10.50483,1.31248,8.73673,0.4866,0.07149,0.1227,-0.86201,1,1,1
0,0,10.55818,0.36215,8.7339,0.49635,-0.34236,-0.61979,-0.50228,1,1,1
0,1,10.54684,0.35907,8.77377,0.39411,-0.22094,-0.67271,-0.58594,1,1,1
0,2,10.53373,0.35542,8.79126,0.35849,-0.18045,-0.68468,-0.60839,1,1,1
0,3,10.56739,0.33766,8.7319,0.50993,-0.38859,-0.49561,-0.58596,1,1,1
0,4,10.55921,0.3279,8.77606,0.35754,-0.2609,-0.5732,-0.68959,1,1,1
0,5,10.54122,0.32216,8.79884,0.3114,-0.22263,-0.58912,-0.71162,1,1,1
0,6,10.55206,0.32182,8.6652,-0.67281,0.24375,-0.46059,-0.52514,1,1,1
0,7,10.55357,0.29638,8.7124,0.45003,-0.4124,-0.29075,-0.73679,1,1,1
0,8,10.54507,0.28226,8.7414,0.32263,-0.35892,-0.35466,-0.80081,1,1,1
0,9,10.53577,0.27769,8.75539,0.28464,-0.34186,-0.37114,-0.81509,1,1,1
0,10,10.56325,0.31535,8.72389,0.49967,-0.39231,-0.39343,-0.66455,1,1,1
0,11,10.55581,0.30164,8.75917,0.35444,-0.30432,-0.46485,-0.75212,1,1,1
0,12,10.54129,0.29519,8.77947,0.29005,-0.26422,-0.48875,-0.77921,1,1,1
0,13,10.53066,0.37853,8.67508,0.49465,-0.00126,-0.85806,0.13803,1,1,1
0,14,10.51402,0.38306,8.70273,0.50926,0.12089,-0.8495,0.06622,1,1,1
0,15,10.5021,0.37941,8.72598,0.50867,0.11348,-0.85052,0.07065,1,1,1
0,16,10.63466,1.08942,9.02486,0.97312,-0.15882,-0.14369,-0.08468,0,0,0
0,17,10.70713,0.99822,8.77674,0.02203,0.17686,-0.81601,-0.54988,1,1,1
0,18,10.63458,1.23731,8.71524,0.15438,0.09258,-0.10761,-0.97776,1,1,1
0,19,10.50486,1.31252,8.73674,0.48654,0.07159,0.12274,-0.86203,1,1,1
0,0,10.55818,0.36215,8.7339,0.49635,-0.34236,-0.61979,-0.50228,1,1,1
0,1,10.54684,0.35907,8.77377,0.39411,-0.22094,-0.67271,-0.58594,1,1,1
0,2,10.53373,0.35542,8.79126,0.35849,-0.18045,-0.68468,-0.60839,1,1,1
0,3,10.56739,0.33766,8.7319,0.50993,-0.38859,-0.49561,-0.58596,1,1,1
0,4,10.55921,0.3279,8.77606,0.35754,-0.2609,-0.5732,-0.68959,1,1,1
0,5,10.54122,0.32216,8.79884,0.3114,-0.22263,-0.58912,-0.71162,1,1,1
0,6,10.55206,0.32182,8.6652,-0.67281,0.24375,-0.46059,-0.52514,1,1,1
0,7,10.55357,0.29638,8.7124,0.45003,-0.4124,-0.29075,-0.73679,1,1,1
0,8,10.54507,0.28226,8.7414,0.32263,-0.35892,-0.35466,-0.80081,1,1,1
0,9,10.53577,0.27769,8.75539,0.28464,-0.34186,-0.37114,-0.81509,1,1,1
0,10,10.56325,0.31535,8.72389,0.49967,-0.39231,-0.39343,-0.66455,1,1,1
0,11,10.55581,0.30164,8.75917,0.35444,-0.30432,-0.46485,-0.75212,1,1,1
0,12,10.54129,0.29519,8.77947,0.29005,-0.26422,-0.48875,-0.77921,1,1,1
0,13,10.53066,0.37853,8.67508,0.49465,-0.00126,-0.85806,0.13803,1,1,1
0,14,10.51402,0.38306,8.70273,0.50926,0.12089,-0.8495,0.06622,1,1,1
0,15,10.5021,0.37941,8.72598,0.50867,0.11348,-0.85052,0.07065,1,1,1
0,16,10.63475,1.08972,9.02501,0.97312,-0.15895,-0.14362,-0.08458,0,0,0
0,17,10.7072,0.99836,8.77695,0.02214,0.17684,-0.81619,-0.54961,1,1,1
0,18,10.63462,1.23741,8.71533,0.15444,0.09247,-0.10784,-0.97774,1,1,1
0,19,10.5049,1.31263,8.73681,0.48654,0.07161,0.12265,-0.86204,1,1,1
0,0,10.55818,0.36215,8.7339,0.49635,-0.34236,-0.61979,-0.50228,1,1,1
0,1,10.54684,0.35907,8.77377,0.39411,-0.22094,-0.67271,-0.58594,1,1,1
0,2,10.53373,0.35542,8.79126,0.35849,-0.18045,-0.68468,-0.60839,1,1,1
0,3,10.56739,0.33766,8.7319,0.50993,-0.38859,-0.49561,-0.58596,1,1,1
0,4,10.55921,0.3279,8.77606,0.35754,-0.2609,-0.5732,-0.68959,1,1,1
0,5,10.54122,0.32216,8.79884,0.3114,-0.22263,-0.58912,-0.71162,1,1,1
0,6,10.55206,0.32182,8.6652,-0.67281,0.24375,-0.46059,-0.52514,1,1,1
0,7,10.55357,0.29638,8.7124,0.45003,-0.4124,-0.29075,-0.73679,1,1,1
0,8,10.54507,0.28226,8.7414,0.32263,-0.35892,-0.35466,-0.80081,1,1,1
0,9,10.53577,0.27769,8.75539,0.28464,-0.34186,-0.37114,-0.81509,1,1,1
0,10,10.56325,0.31535,8.72389,0.49967,-0.39231,-0.39343,-0.66455,1,1,1
0,11,10.55581,0.30164,8.75917,0.35444,-0.30432,-0.46485,-0.75212,1,1,1
0,12,10.54129,0.29519,8.77947,0.29005,-0.26422,-0.48875,-0.77921,1,1,1
0,13,10.53066,0.37853,8.67508,0.49465,-0.00126,-0.85806,0.13803,1,1,1
0,14,10.51402,0.38306,8.70273,0.50926,0.12089,-0.8495,0.06622,1,1,1
0,15,10.5021,0.37941,8.72598,0.50867,0.11348,-0.85052,0.07065,1,1,1
0,16,10.6348,1.0898,9.02495,0.97311,-0.15903,-0.14354,-0.08459,0,0,0
0,17,10.70728,0.99839,8.77691,0.02217,0.17691,-0.81624,-0.54952,1,1,1
0,18,10.63466,1.23743,8.71529,0.15452,0.09248,-0.10785,-0.97772,1,1,1
0,19,10.50493,1.31265,8.73676,0.48654,0.07159,0.12262,-0.86205,1,1,1
0,0,10.55818,0.36215,8.7339,0.49635,-0.34236,-0.61979,-0.50228,1,1,1
